name|hex_color|tags|make|orientation|width|height
bda95c47.jpg|['#2b3243', '#539bc8', '#647481', '#8ec6dd']|['person', 'person', 'person', 'person', 'person', 'person', 'horse', 'person', 'person', 'horse', 'horse', 'person']||||
f1f2ebf3.jpg|['#15170e', '#4a6423', '#7b9652', '#2d3618']|['person']|Canon|0|4272|2848
l48Eloe0RGm3l0OQfHNd_13112213395_dbe69fe6de_o.jpg.jpg|['#cace99', '#4d7335', '#889c41', '#2e402d']|[]|Apple|1|3264|2448
m6rT4MYFQ7CT8j9m2AEC_JakeGivens%20-%20Sunset%20in%20the%20Park.JPG.jpg|['#c1bcb4', '#59504e', '#f4efeb', '#96785a']|[]|SONY|0|4912|3264
mW95rWmYSRe4nTMVaRaW_French-Mountain.jpg.jpg|['#242130', '#020204', '#342e40', '#4d4151']|[]|Canon|1|2550|1700
photo-1414872809883-7620d2ae7566.jpg|['#077441', '#f14406', '#58a169', '#033627']|[]|Canon|0|2912|4368
photo-1415353115981-9bb4c22bafed.jpg|['#e0d7c6', '#56504d', '#7b8996', '#222317']|['boat', 'boat', 'boat', 'boat', 'boat', 'boat', 'boat', 'truck', 'boat']|Canon|0|5067|3375
photo-1415912364061-78a25859c0fa.jpg|['#9d978e', '#3e3c32', '#7b7366', '#c2c6c1']|[]|Canon|1|3456|2304
photo-1416339411116-62e1226aacd8.jpg|['#274210', '#e0e2e3', '#657f4f', '#acb5a7']|[]|Panasonic|0|3000|4000
photo-1417007594043-344e0104c3ce.jpg|['#241616', '#b09052', '#523822', '#1b0e10']|['car', 'car', 'car']|FUJIFILM|0|4896|3264
photo-1420142515034-86cc8c508475.jpg|['#dedddf', '#605b53', '#bfb6ab', '#948574']|[]|Canon|1|2564|1710
photo-1421992617193-7ce245f5cb08.jpg|['#dcdedd', '#574d3d', '#847d70', '#a1b7c4']|[]|NIKON CORPORATION|0|6000|4000
photo-1428550670225-15f007f6f1ba.jpg|['#18162f', '#d9b98f', '#444248', '#8a7967']|[]|Canon|1|2000|1333
photo-1429270958905-78f90e2dca75.jpg|['#452a1c', '#e9ce9f', '#bb6b37', '#734227']|[]|Canon|1|5184|3456
photo-1430826032205-b84a31521ea6.jpg|['#d9d9d9', '#474747', '#bebebe', '#cecece']|['bird']|SONY|1|6000|4000
photo-1431321327469-8f1a5e7afc6a.jpg|['#616a80', '#111e0c', '#445976', '#857882']|['kite']|OLYMPUS IMAGING CORP.  |1|4608|2592
photo-1431576882097-3c68310a480f.jpg|['#988790', '#3e3130', '#bfb4b6', '#705960']|[]|Canon|0|5745|3830
photo-1433018705870-ecc677a093f2.jpg|['#21353f', '#d8d4cb', '#695959', '#a79285']|[]|Canon|0|3744|5616
photo-1433030447984-21d24eb0c5ba.jpg|['#6e701a', '#a8a938', '#36350b', '#eae490']|[]|NIKON CORPORATION|1|4608|3072
photo-1433621611134-008713dc0321.jpg|['#0b0803', '#555fba', '#b8befd', '#34365e']|[]|Canon|1|4000|3000
photo-1436377734980-0ee004df570b.jpg|['#234d73', '#ac6e3b', '#057abc', '#232119']|['boat', 'boat']|NIKON CORPORATION|0|6935|4283
photo-1436891620584-47fd0e565afb.jpg|['#282c4c', '#6f75a0', '#434a76', '#0e0e1a']|[]|Canon|1|3695|5543
photo-1437149310981-0f2690a6069d.jpg|['#553148', '#0d0605', '#231827', '#a66782']|[]|Canon|1|5692|3795
photo-1440524897680-0d6613af4ca3.jpg|['#fefef9', '#726656', '#2f3121', '#b8b091']|[]|Canon|1|3456|5184
photo-1441906551230-a0352e3dbcd9.jpg|['#335326', '#e14a5b', '#252b23', '#5b9235']|[]|Canon|1|5616|3744
photo-1444210971048-6130cf0c46cf.jpg|['#ddcab2', '#232228', '#9ba9c0', '#838498']|['person', 'person', 'person', 'person', 'person', 'person']|NIKON CORPORATION|1|4426|2943
photo-1445122734110-5ccd170eded6.jpg|['#3a2b36', '#bcb0b1', '#6d6067', '#e4d7cb']|[]||||
photo-1445249310874-ddfd23018ee3.jpg|['#3b3b3b', '#e8e8e8', '#a3a3a3', '#c2c2c2']|['cow', 'cow']|FUJIFILM|1|4750|2672
photo-1445264760308-f80de105f42d.jpg|['#222a4f', '#afabb7', '#eb753e', '#764458']|[]|Canon|1|3456|2304
photo-1446376271024-d83b7f98ed83.jpg|['#131217', '#a2acba', '#e2e5ea', '#585c67']|[]|FUJIFILM|1|3097|2065
photo-1448988301245-000401bb1ee7.jpg|['#948e88', '#2b281d', '#71685a', '#d7d9d6']|[]||1|3888|2592
photo-1455655100973-2a0d5f567386.jpg|['#b6bec1', '#131a2c', '#e6eeef', '#636d7b']|['person', 'person', 'person']|FUJIFILM|1|3072|2048
photo-1456973336295-46fc683d4276.jpg|['#99a0a4', '#59524f', '#2c201b', '#7a7c7e']|[]|NIKON CORPORATION|1|4000|2670
photo-1458682375064-2970d354b9bd.jpg|['#a61f26', '#ada098', '#746c67', '#34302e']|['potted plant']|OLYMPUS IMAGING CORP.|1|4448|3336
photo-1462834254122-801b9e967783.jpg|['#6b6855', '#9a9c9d', '#c9cbc9', '#393c38']|[]|Canon|1|4351|2869
photo-1471899236350-e3016bf1e69e.jpg|['#89a4a6', '#e1cac7', '#98b3ba', '#a0bbc0']|[]|SONY|0|5261|3507
