filename,Make,Model,Software,BitsPerSample,ImageWidth,ImageHeight,ImageDescription,Orientation,Copyright,DateTime,DateTimeOriginal,DateTimeDigitized,SubSecTimeOriginal,ExposureTime,FNumber,ExposureProgram,ISOSpeedRatings,SubjectDistance,ExposureBiasValue,Flash,FlashReturnedLight,FlashMode,MeteringMode,FocalLength,FocalLengthIn35mm,Latitude,LatitudeDegrees,LatitudeMinutes,LatitudeSeconds,LatitudeDirection,Longitude,LongitudeDegrees,LongitudeMinutes,LongitudeSeconds,LongitudeDirection,Altitude,DOP,FocalLengthMin,FocalLengthMax,FStopMin,FStopMax,LensMake,LensModel,FocalPlaneXResolution,FocalPlaneYResolution
image_811.jpg,SONY,ILCE-7M3,ILCE-7M3 v3.01,0,3477,5930,,0,,,2019:11:07 07:39:09,,,0.002500,1.800000,1,250,0.000000,0.000000,0,0,0,5,55.000000,0,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,FE 55mm F1.8 ZA,0.000000,0.000000
image_805.jpg,DJI,FC2103,Adobe Photoshop Lightroom Classic 7.0 (Macintosh),0,3010,3762,,0,,2019:08:16 00:12:15,2019:08:15 14:33:01,2019:08:15 14:33:01,,0.001250,2.800000,2,100,0.000000,0.000000,0,0,0,1,4.500000,24,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000
image_193.jpg,SONY,ILCE-7M3,ILCE-7M3 v1.01,0,6000,4000,                               ,1,,2018:11:22 11:40:24,2018:11:22 11:40:24,2018:11:22 11:40:24,,0.012500,4.000000,3,1250,0.000000,0.000000,0,0,2,5,70.000000,70,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,24.000000,105.000000,4.000000,4.000000,,FE 24-105mm F4 G OSS,0.000000,0.000000
image_187.jpg,Canon,Canon EOS 6D,Adobe Photoshop CC 2019 (Windows),0,5472,3648,,1,@eberhardgross,2018:12:01 09:52:25,2018:11:11 12:08:23,2018:11:11 12:08:23,90,0.033333,6.700000,3,100,0.000000,0.000000,0,0,2,5,85.000000,0,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,85.000000,85.000000,0.000000,0.000000,,TAMRON SP 85mm F/1.8 Di VC USD F016,1520.000000,1520.000000
image_839.jpg,NIKON CORPORATION,NIKON D3100,VSCO Android Version: v36 (1347),0,4608,3072,Processed with VSCO with e5 preset,1,Copyright 2017. All right reserved.,2017:10:14 13:48:19,2017:10:14 13:48:19,2017:10:14 13:48:19,60,0.001000,0.000000,1,200,0.000000,0.000000,0,0,0,2,0.000000,0,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000
image_178.jpg,Canon,Canon EOS 6D,Adobe Photoshop CC 2019 (Windows),8,5472,3648,,1,@eberhardgross,2018:11:12 11:25:15,2018:11:06 18:34:38,2018:11:06 18:34:38,64,0.011111,6.700000,3,640,0.000000,0.000000,0,0,2,5,85.000000,0,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,85.000000,85.000000,0.000000,0.000000,,TAMRON SP 85mm F/1.8 Di VC USD F016,1520.000000,1520.000000
image_636.jpg,NIKON CORPORATION,NIKON D810,Adobe Photoshop Lightroom Classic 8.2 (Macintosh),0,4912,7360,,0,,2019:03:26 22:18:30,2019:03:24 13:03:22,2019:03:24 13:03:22,03,0.008000,3.200000,1,500,0.000000,0.000000,0,0,2,3,70.000000,70,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,24.000000,70.000000,2.800000,2.800000,,24.0-70.0 mm f/2.8,0.000000,0.000000
image_150.jpg,,,Adobe Photoshop Lightroom 6.8 (Macintosh),0,6301,4005,,0,,2016:12:22 00:57:33,,,,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000
image_144.jpg,SONY,ILCE-6000,Adobe Photoshop Lightroom 6.5 (Macintosh),0,6000,4000,,0,,2016:04:15 08:31:02,2016:04:15 05:33:40,2016:04:15 05:33:40,,0.001563,0.000000,1,100,0.000000,0.000000,0,0,2,5,0.000000,0,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,----,2553.191498,2553.191498
image_622.jpg,Apple,iPhone XS,Lightroom CC (iOS),0,3024,4032,,0,,,2019:02:23 10:05:48,,8221,0.000078,1.800000,2,25,0.000000,0.000000,0,0,0,3,4.250000,0,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,iPhone XS back camera 4.25mm f/1.8,0.000000,0.000000
image_15.jpg,,,Aperture 3.6,0,3888,2592,,1,,2009:10:14 13:03:25,2009:10:14 13:03:25,2009:10:14 13:03:25,,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000
image_391.jpg,Canon,Canon EOS 5D,Adobe Photoshop Lightroom Classic 8.2 (Macintosh),0,3680,2453,,0,,2019:05:23 18:04:23,2010:09:12 15:01:34,2010:09:12 15:01:34,,0.012500,9.000000,1,100,0.000000,0.000000,0,0,2,0,24.000000,0,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,24.000000,85.000000,0.000000,0.000000,,EF24-85mm f/3.5-4.5 USM,3086.925795,3091.295117
image_29.jpg,RICOH IMAGING COMPANY, LTD.,PENTAX K-3 II,Adobe Photoshop CC 2015 (Macintosh),0,6016,4000,,1,,2015:10:17 17:57:17,2015:07:28 15:00:14,2015:07:28 15:00:14,,0.010000,11.000000,3,200,0.000000,0.000000,0,0,2,5,15.000000,22,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,2561.255585,2561.255585
image_385.jpg,Canon,Canon EOS R,Adobe Photoshop Lightroom Classic 8.1 (Windows),0,6720,4480,,0,,2019:05:24 21:19:00,2019:05:13 14:29:35,2019:05:13 14:29:35,61,0.006250,0.000000,3,3200,0.000000,0.000000,0,0,0,5,0.000000,0,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,63,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,1866.666656,1866.666656
